task_id,attempt_id,session_id,mode,lane,start_utc,end_utc,elapsed_seconds,engaged_seconds,tool_wait_seconds,idle_seconds,unmeasured_seconds,forecast_seconds,artifact,status
F01,F01-A1,2026-09-20-S1,O,,2026-09-21T01:08:02.897472+00:00,2026-09-21T01:09:29.327381+00:00,86.429881,,0.025040,,86.404841,600,v2/work_logs/F01_2026-09-20_S1.md,partial; O engaged/wait split unmeasured
F01,F01-A1,2026-09-20-S1,D,R,2026-09-21T01:09:29.327381+00:00,2026-09-21T01:15:35.435888+00:00,366.108507,366.108507,0.000000,0,0.000000,3900,v2/work_logs/F01_2026-09-20_S1.md,partial
F01,F01-A1,2026-09-20-S1,D,X,2026-09-21T01:15:35.435888+00:00,2026-09-21T01:22:52.506139+00:00,437.070250,437.070250,0.000000,0,0.000000,,v2/work_logs/F01_2026-09-20_S1.md,partial
F01,F01-A1,2026-09-20-S1,E,R,2026-09-21T01:22:52.506139+00:00,2026-09-21T01:25:37.426518+00:00,164.920378,163.657758,1.262619,0,0.000000,900,v2/work_logs/F01_2026-09-20_S1.md,partial
F01,F01-A1,2026-09-20-S1,D,R,2026-09-21T01:25:37.426518+00:00,2026-09-21T01:28:12.403800+00:00,154.977283,154.977283,0.000000,0,0.000000,,v2/work_logs/F01_2026-09-20_S1.md,partial
F01,F01-A1,2026-09-20-S1,E,R,2026-09-21T01:28:12.403800+00:00,2026-09-21T01:28:15.889919+00:00,3.486141,1.721762,1.764380,0,0.000000,,v2/work_logs/F01_2026-09-20_S1.md,partial
F01,F01-A1,2026-09-20-S1,O,,2026-09-21T01:28:15.889919+00:00,2026-09-21T01:37:59.499848+00:00,583.609908,,0.000000,,583.609908,,v2/work_logs/F01_2026-09-20_S1.md,partial; O engaged/wait split unmeasured
F01,F01-A1,2026-09-21-S2,O,,2026-09-22T02:54:59.332538+00:00,2026-09-22T02:56:28.840996+00:00,89.508377749,,0.000000000,,89.508377749,720,v2/work_logs/F01_2026-09-21_S2.md,completed task; active/wait allocation unmeasured; no research credit
F01,F01-A1,2026-09-21-S2,D,R,2026-09-22T02:56:28.840996+00:00,2026-09-22T03:05:13.746479+00:00,524.909472154,523.952508917,0.000000000,0,0.956963237,3000,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block
F01,F01-A1,2026-09-21-S2,D,X,2026-09-22T03:05:13.746479+00:00,2026-09-22T03:11:49.601552+00:00,395.851081197,394.923281095,0.000000000,0,0.927800102,,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block
F01,F01-A1,2026-09-21-S2,L,R,2026-09-22T03:11:49.601552+00:00,2026-09-22T03:14:22.039779+00:00,152.438231324,,0.000000000,,152.438231324,300,v2/work_logs/F01_2026-09-21_S2.md,completed task; active/wait allocation unmeasured; no research credit
F01,F01-A1,2026-09-21-S2,D,R,2026-09-22T03:14:22.039779+00:00,2026-09-22T03:17:34.939628+00:00,192.899845431,191.208008271,0.000000000,0,1.691837160,,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block
F01,F01-A1,2026-09-21-S2,E,R,2026-09-22T03:17:34.939628+00:00,2026-09-22T03:21:48.185122+00:00,253.245496924,253.245496924,0.000000000,0,0.000000000,720,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block; corrected earlier D mode at observed boundary
F01,F01-A1,2026-09-21-S2,E,R,2026-09-22T03:21:48.185122+00:00,2026-09-22T03:24:05.358970+00:00,137.174351915,,2.126519113,,135.047832802,,v2/work_logs/F01_2026-09-21_S2.md,completed task; active/wait allocation unmeasured; no research credit
F01,F01-A1,2026-09-21-S2,D,X,2026-09-22T03:24:05.358970+00:00,2026-09-22T03:30:18.318029+00:00,372.958552811,372.214501713,0.000000000,0,0.744051098,,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block
F01,F01-A1,2026-09-21-S2,D,R,2026-09-22T03:30:18.318029+00:00,2026-09-22T03:38:39.347212+00:00,501.029184193,500.053108195,0.000000000,0,0.976075998,,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block
F01,F01-A1,2026-09-21-S2,E,R,2026-09-22T03:38:39.347212+00:00,2026-09-22T03:40:11.500347+00:00,92.153144498,88.931368877,3.221775621,0,0.000000000,,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block
F01,F01-A1,2026-09-21-S2,O,,2026-09-22T03:40:11.500347+00:00,2026-09-22T03:41:59.918312+00:00,108.417954456,,0.000000000,,108.417954456,,v2/work_logs/F01_2026-09-21_S2.md,completed task; active/wait allocation unmeasured; no research credit; conservative exclusion until explicit D restart
F01,F01-A1,2026-09-21-S2,D,X,2026-09-22T03:41:59.918312+00:00,2026-09-22T03:53:15.621353+00:00,675.703040053,674.109326638,0.000000000,0,1.593713415,,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block
F01,F01-A1,2026-09-21-S2,O,,2026-09-22T03:53:15.621353+00:00,2026-09-22T03:53:39.098411+00:00,23.477059163,,0.000000000,,23.477059163,,v2/work_logs/F01_2026-09-21_S2.md,completed task; active/wait allocation unmeasured; no research credit
F01,F01-A1,2026-09-21-S2,E,R,2026-09-22T03:53:39.098411+00:00,2026-09-22T03:54:52.966258+00:00,73.867847070,70.123041661,3.744805409,0,0.000000000,,v2/work_logs/F01_2026-09-21_S2.md,completed task; measured work block
F01,F01-A1,2026-09-21-S2,O,,2026-09-22T03:54:52.966258+00:00,2026-09-22T04:02:41.760256+00:00,468.793998882,,0.000000000,,468.793998882,,v2/work_logs/F01_2026-09-21_S2.md,completed task; active/wait allocation unmeasured; no research credit
